ResponseId;Q120;MainBranch;Age;Employment;RemotoWork;CodingActivities;EdLevel;LearnCode.1;LearnCode.2;LearnCode.3;LearnCode.4;LearnCode.5;LearnCode.6;LearnCode.7;LearnCode.8;LearnCodeOnline;LearnCodeCoursesCert;YearsCode;YearsCodePro;DevType;OrgSize;PurchaseInfluence;TechList;BuyNewTool;Country;Currency;CompTotal;LanguageHaveWorkedWith;LanguageWantToWorkWith.1;LanguageWantToWorkWith.2;LanguageWantToWorkWith.3;LanguageWantToWorkWith.4;LanguageWantToWorkWith.5;LanguageWantToWorkWith.6;LanguageWantToWorkWith.7;LanguageWantToWorkWith.8;LanguageWantToWorkWith.9;LanguageWantToWorkWith.10;LanguageWantToWorkWith.11;LanguageWantToWorkWith.12;LanguageWantToWorkWith.13;DatabaseHaveWorkedWith;DatabaseWantToWorkWith;PlatformHaveWorkedWith;PlatformWantToWorkWith;WebframeHaveWorkedWith;WebframeWantToWorkWith;MiscTechHaveWorkedWith;MiscTechWantToWorkWith;ToolsTechHaveWorkedWith;ToolsTechWantToWorkWith;NEWCollabToolsHaveWorkedWith;NEWCollabToolsWantToWorkWith;OpSysPersonal use;OpSysProfessional use;OfficeStackAsyncHaveWorkedWith;OfficeStackAsyncWantToWorkWith;OfficeStackSyncHaveWorkedWith;OfficeStackSyncWantToWorkWith;AISearchHaveWorkedWith;AISearchWantToWorkWith;AIDevHaveWorkedWith;AIDevWantToWorkWith;NEWSOSites;SOVisitFreq;SOAccount;SOPartFreq;SOComm;SOAI;AISelect;AISent;AIAcc;AIBen;AIToolInterested in Using;AIToolCurrently Using;AIToolNot interested in Using;AINextVery different;AINextNeither different nor similar;AINextSomewhat similar;AINextVery similar;AINextSomewhat different;TBranch;ICorPM;WorkExp;Knowledge_1;Knowledge_2;Knowledge_3;Knowledge_4;Knowledge_5;Knowledge_6;Knowledge_7;Knowledge_8;Frequency_1;Frequency_2;Frequency_3;TimeSearching;TimeAnswering;ProfessionalTech;Industry;SurveyLength;SurveyEase;ConvertedCompYearly
32;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Professional development or self-paced learning from online courses";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Online Courses or Certification;;;;;;;NA;"Codecademy;Udemy;Coursera";5;5;Developer, full-stack;500 to 999 employees;I have some influence;Investigate;"Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";130000;"Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript";Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript;;;;;;;PostgreSQL;PostgreSQL;"Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify";"Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify";"Next.js;Node.js;React;Vue.js";"Next.js;Node.js;React;Vue.js";Flutter;Flutter;"Docker;Homebrew;npm;Vite;Webpack;Yarn";"Docker;Homebrew;npm;Vite;Webpack;Yarn";Visual Studio Code;Visual Studio Code;;"MacOS;Ubuntu";Jira;NA;"Google Meet;Slack;Zoom";"Google Meet;Slack;Zoom";NA;NA;NA;NA;Stack Overflow;A few times per month or weekly;Yes;Less than once per month or monthly;No, not really;NA;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Too long;Easy;26374
89;I agree;I am a developer by profession;35-44 years old;Employed, full-time;Presencial;"Hobby;Professional development or self-paced learning from online courses;Freelance/contract work;School or academic work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);Coding Bootcamp;;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow";"Codecademy;edX;Udemy;Coursera;Udacity";20;14;Developer, full-stack;1,000 to 4,999 employees;I have a great deal of influence;Given a list;"Start a free trial;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd;Research companies that have emailed me";Brazil;"BRL	Brazilian real";120000;"Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL";Bash/Shell (all shells);Dart;Go;HTML/CSS;Java;JavaScript;Kotlin;PHP;R;Rust;SQL;TypeScript;;"MySQL;PostgreSQL";"Cassandra;MongoDB;MySQL;Neo4J;PostgreSQL;Redis";NA;NA;jQuery;"Laravel;Next.js;Vue.js";NA;NA;"Composer;Docker;Pip";"APT;Cargo;Composer;Docker;npm;Pip;Vite;Yarn";"Jupyter Notebook/JupyterLab;Visual Studio Code";"IntelliJ IDEA;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code";"Ubuntu;Windows";Fedora;"Markdown File;Miro;Redmine";Markdown File;"Discord;Google Meet;Slack;Telegram;Whatsapp;Zoom";"Discord;Google Meet;Signal;Telegram";ChatGPT;"ChatGPT;Google Bard AI;Phind;Quora Poe;WolframAlpha";GitHub Copilot;"AWS CodeWhisperer;GitHub Copilot";"Stack Overflow;Stack Exchange";Multiple times per day;Yes;Daily or almost daily;Neutral;I think that AI could improve the quality of SO, but only if it is a partner under human supervision and NOT taking final decisions or creating final content.;Yes;Favorable;"Increase productivity;Speed up learning;Improve accuracy in coding";Neither trust nor distrust;"Project planning;Documenting code;Debugging and getting help;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ";"Learning about a codebase;Writing code;Testing code";;NA;NA;NA;NA;NA;Yes;Individual contributor;17;Agree;Strongly agree;Neither agree nor disagree;Agree;Strongly agree;Agree;Agree;Agree;1-2 times a week;1-2 times a week;3-5 times a week;30-60 minutes a day;15-30 minutes a day;None of these;Healthcare;Too long;Neither easy nor difficult;24345
108;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Professional development or self-paced learning from online courses;Freelance/contract work";Some college/university study without earning a degree;Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Books;Video-based Online Courses;Written-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Click to write Choice 20";NA;11;9;Developer, full-stack;100 to 499 employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow;Research companies that have advertised on sites I visit;Read ratings or reviews on third party sites like G2 Crowd";Brazil;"BRL	Brazilian real";92000;"Bash/Shell (all shells);C;HTML/CSS;JavaScript;TypeScript";C++;Dart;HTML/CSS;Java;JavaScript;SQL;TypeScript;;;;;;;"Elasticsearch;PostgreSQL;Redis";PostgreSQL;Amazon Web Services (AWS);NA;"Angular;NestJS;Node.js";"Angular;Deno;Express";NA;NA;NA;NA;"DataGrip;Visual Studio Code;WebStorm";"DataGrip;IntelliJ IDEA;WebStorm";"Windows;Windows Subsystem for Linux (WSL)";"Windows;Windows Subsystem for Linux (WSL)";"Basecamp;Jira;Trello";NA;"Discord;Whatsapp;Zoom";NA;NA;NA;NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;A few times per month or weekly;Neutral;NA;No, but I plan to soon;Indifferent;NA;Neither trust nor distrust;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;18665
251;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;Freelance/contract work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;;"Formal documentation provided by the owner of the tech;How-to videos;Video-based Online Courses;Online challenges (e.g., daily or weekly coding challenges);Stack Overflow";Coursera;10;5;Developer, mobile;1,000 to 4,999 employees;I have little or no influence;NA;"Ask developers I know/work with;Visit developer communities like Stack Overflow";Brazil;"BRL	Brazilian real";150000;"Dart;Swift";Dart;Swift;;;;;;;;;;;;SQLite;"Firebase Realtime Database;SQLite";NA;NA;NA;NA;Flutter;Flutter;Homebrew;Homebrew;"Android Studio;Vim;Xcode";"Android Studio;Vim;Xcode";"Android;Windows";"Android;iOS";"Azure Devops;Jira";Azure Devops;"Discord;Microsoft Teams";"Discord;Slack";NA;NA;NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;Less than once per month or monthly;Yes, definitely;NA;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;5;Agree;Strongly agree;Neither agree nor disagree;Neither agree nor disagree;Disagree;Strongly agree;Strongly agree;Disagree;1-2 times a week;1-2 times a week;1-2 times a week;Over 120 minutes a day;Over 120 minutes a day;"Microservices;Observability tools";Information Services, IT, Software Development, or other Technology;Appropriate in length;Easy;30431
311;I agree;I am a developer by profession;18-24 years old;Independent contractor, freelancer, or self-employed;Remoto;"Contribute to open-source projects;Professional development or self-paced learning from online courses";Some college/university study without earning a degree;Books / Physical media;Other online resources (e.g., videos, blogs, forum);;;;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Written Tutorials;Stack Overflow";NA;8;3;Developer, back-end;Just me - I am a freelancer, sole proprietor, etc.;I have a great deal of influence;Investigate;"Start a free trial;Ask developers I know/work with;Visit developer communities like Stack Overflow";Brazil;"BRL	Brazilian real";NA;"C#;HTML/CSS;JavaScript;PHP;PowerShell;SQL;Visual Basic (.Net)";C#;HTML/CSS;JavaScript;PHP;SQL;;;;;;;;;MySQL;MySQL;"Amazon Web Services (AWS);Cloudflare;Digital Ocean";"Cloudflare;Vultr";jQuery;jQuery;".NET (5+) ;.NET Framework (1.0 - 4.8);OpenGL";.NET (5+) ;NA;NA;"Notepad++;Vim;Visual Studio Code";"Vim;Visual Studio Code";Windows;Windows;Trello;Trello;"Discord;Google Meet;Telegram;Whatsapp";"Discord;Google Meet;Telegram;Whatsapp";NA;NA;NA;NA;Stack Overflow;Multiple times per day;Yes;Daily or almost daily;Yes, definitely;Stack Exchange should focus on community and not artificial intelligence.;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;NA
445;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;Hobby;Bachelor’s degree (B.A., B.S., B.Eng., etc.);Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);;;;;;"Formal documentation provided by the owner of the tech;Books;How-to videos;Written Tutorials;Click to write Choice 20;Stack Overflow";Udemy;6;5;Developer, full-stack;1,000 to 4,999 employees;I have some influence;Investigate;"Start a free trial;Ask developers I know/work with";Brazil;"BRL	Brazilian real";200000;"HTML/CSS;Java;JavaScript;SQL;TypeScript";Go;HTML/CSS;Java;Rust;TypeScript;;;;;;;;;PostgreSQL;"Cosmos DB;Elasticsearch;MongoDB;Oracle;PostgreSQL";Microsoft Azure;"Amazon Web Services (AWS);Google Cloud;Microsoft Azure";"NestJS;Next.js;Node.js";"AngularJS;NestJS;Next.js;Node.js;Spring Boot";RabbitMQ;".NET (5+) ;Quarkus;Spring Framework";"Docker;Kubernetes;npm";"Docker;Kubernetes;Maven (build tool);npm;Unity 3D;Unreal Engine";Visual Studio Code;"Android Studio;Eclipse;IntelliJ IDEA;Visual Studio Code;WebStorm";"Android;Windows;Windows Subsystem for Linux (WSL)";"Debian;Windows;Windows Subsystem for Linux (WSL)";"Azure Devops;Confluence;Jira";"Azure Devops;Confluence;GitHub Discussions;Jira";"Discord;Microsoft Teams;Slack;Zoom";"Discord;Slack";NA;NA;NA;NA;"Stack Overflow;Stack Exchange;Collectives on Stack Overflow";Daily or almost daily;Yes;A few times per month or weekly;Yes, somewhat;I totally support it;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;6;Strongly agree;Disagree;Agree;Agree;Strongly agree;Disagree;Agree;Agree;Never;1-2 times a week;1-2 times a week;Less than 15 minutes a day;15-30 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Innersource initiative;Developer portal or other central places to find tools/services;Continuous integration (CI) and (more often) continuous delivery";Information Services, IT, Software Development, or other Technology;Appropriate in length;Easy;40575
479;I agree;I am a developer by profession;25-34 years old;Employed, part-time;Remoto;"Hobby;Professional development or self-paced learning from online courses;School or academic work";Some college/university study without earning a degree;Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow";Coursera;8;Less than 1 year;Data scientist or machine learning specialist;2 to 9 employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with";Brazil;"BRL	Brazilian real";18000;Python;Rust;;;;;;;;;;;;;"PostgreSQL;SQLite";Redis;Heroku;"Amazon Web Services (AWS);Google Cloud";Django;"FastAPI;Flask";"Keras;NumPy;Opencv;TensorFlow";"Keras;NumPy;Opencv;Torch/PyTorch";Docker;"Cargo;Docker";Visual Studio Code;Visual Studio Code;Ubuntu;Ubuntu;NA;NA;"Discord;Whatsapp";"Discord;Whatsapp";"ChatGPT;Perplexity AI";"ChatGPT;Perplexity AI";"GitHub Copilot;Tabnine";GitHub Copilot;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;A few times per month or weekly;Yes, somewhat;NA;Yes;Very favorable;"Increase productivity;Greater efficiency;Improve accuracy in coding";Somewhat trust;"Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ";"Writing code;Documenting code";;;Documenting code;Writing code;;;Yes;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;3652
516;I agree;I am a developer by profession;35-44 years old;Employed, full-time;Remoto;Hobby;Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Other online resources (e.g., videos, blogs, forum);;;;;;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Stack Overflow";NA;14;10;Developer, back-end;100 to 499 employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with";Brazil;"BRL	Brazilian real";140000;"Bash/Shell (all shells);HTML/CSS;JavaScript;SQL";HTML/CSS;JavaScript;Swift;;;;;;;;;;;PostgreSQL;PostgreSQL;"Amazon Web Services (AWS);Digital Ocean";"Amazon Web Services (AWS);Digital Ocean";"Express;Node.js;Nuxt.js;Vue.js";"Express;Node.js;Nuxt.js;Vue.js";NA;NA;"Docker;npm;Vite";"Docker;npm;Vite";"Vim;Visual Studio Code";"Vim;Visual Studio Code";Ubuntu;Ubuntu;Markdown File;Markdown File;Microsoft Teams;NA;NA;NA;NA;NA;Stack Overflow;Daily or almost daily;Yes;A few times per week;Yes, definitely;I think it could be tested as a different website.;No, and I don't plan to;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Appropriate in length;Easy;28403
645;I agree;I am a developer by profession;25-34 years old;Independent contractor, freelancer, or self-employed;Remoto;"Hobby;Bootstrapping a business;Freelance/contract work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Colleague;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Coding Bootcamp;;"Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Click to write Choice 20;Stack Overflow";NA;9;5;Developer, back-end;10,000 or more employees;I have little or no influence;NA;"Start a free trial;Ask developers I know/work with";Brazil;"BRL	Brazilian real";NA;"HTML/CSS;Java;JavaScript;Python;SQL";Go;HTML/CSS;Java;JavaScript;Python;SQL;;;;;;;;"Elasticsearch;Firebase Realtime Database;Oracle";"Elasticsearch;Firebase Realtime Database;Oracle";"Firebase;Google Cloud";"Firebase;Google Cloud";"Flask;Node.js;Spring Boot;Vue.js";"Flask;Node.js;Spring Boot;Vue.js";"Apache Kafka;JAX;Spring Framework";"Apache Kafka;Flutter;JAX;Pandas;Spring Framework";"Docker;Homebrew;Maven (build tool);Pip";"Docker;Homebrew;Maven (build tool);Pip";"IntelliJ IDEA;Jupyter Notebook/JupyterLab;Spyder;Visual Studio Code";"IntelliJ IDEA;Jupyter Notebook/JupyterLab;Visual Studio Code";MacOS;MacOS;Confluence;Confluence;"Microsoft Teams;Slack;Telegram;Whatsapp;Zoom";"Microsoft Teams;Slack;Telegram;Whatsapp;Zoom";ChatGPT;"ChatGPT;Google Bard AI";NA;NA;Stack Overflow;Daily or almost daily;Yes;Less than once per month or monthly;Neutral;I think the SO could use the LLM to auto answer some questions, also, try to group up the different answers that could answer diverses questions.;Yes;Very favorable;"Increase productivity;Greater efficiency;Speed up learning";Somewhat trust;"Learning about a codebase;Project planning;Writing code;Documenting code;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ";Debugging and getting help;;;Debugging and getting help;;;;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Too long;Easy;NA
682;I agree;I am a developer by profession;25-34 years old;Employed, full-time;Remoto;"Hobby;School or academic work";Bachelor’s degree (B.A., B.S., B.Eng., etc.);Books / Physical media;Online Courses or Certification;School (i.e., University, College, etc);Coding Bootcamp;;;;;NA;"edX;Udemy;Coursera";5;2;Developer, back-end;I don’t know;I have little or no influence;NA;NA;Brazil;"BRL	Brazilian real";NA;"C#;Java;Python";C++;Clojure;GDScript;Java;Lisp;Lua;Prolog;Python;Rust;;;;;"Elasticsearch;Microsoft SQL Server;Oracle;Redis";"MongoDB;Neo4J;Oracle;PostgreSQL;Redis";NA;NA;"Django;React;Spring Boot";"FastAPI;Flask;Spring Boot";"Apache Kafka;RabbitMQ;Spring Framework";"Apache Kafka;CUDA;Keras;NumPy;Opencv;OpenGL;Pandas;RabbitMQ;Scikit-Learn;Spring Framework;TensorFlow;Torch/PyTorch";"Chocolatey;Docker;Gradle;Kubernetes;Webpack";"CMake;Docker;Godot;Gradle;Kubernetes;Make;Unity 3D;Unreal Engine;Webpack";"Emacs;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;PyCharm";"Android Studio;Emacs;IntelliJ IDEA;IPython;Jupyter Notebook/JupyterLab;Neovim;PyCharm;Spyder";"Ubuntu;Windows;Windows Subsystem for Linux (WSL)";Ubuntu;"Azure Devops;Confluence;Jira;Miro";"Confluence;Jira;Miro;Notion;Stack Overflow for Teams;YouTrack";"Microsoft Teams;Slack";"Discord;Slack";WolframAlpha;"Phind;WolframAlpha";NA;NA;"Stack Overflow;Stack Exchange";Daily or almost daily;Yes;Less than once per month or monthly;No, not really;NA;No, but I plan to soon;Favorable;NA;Neither trust nor distrust;NA;NA;NA;NA;NA;NA;NA;NA;Yes;Individual contributor;5;Agree;Neither agree nor disagree;Agree;Neither agree nor disagree;Agree;Disagree;Neither agree nor disagree;Neither agree nor disagree;1-2 times a week;1-2 times a week;1-2 times a week;30-60 minutes a day;30-60 minutes a day;"DevOps function;Microservices;Automated testing;Observability tools;Continuous integration (CI) and (more often) continuous delivery";Financial Services;Too long;Neither easy nor difficult;NA
